customer_id,prob,default
100000,0.67,1
100001,0.7,1
100002,0.65,1
100003,0.84,1
100004,0.86,1
100005,0.34,1
100006,0.54,1
100007,0.73,1
100008,0.35,1
100009,0.88,1
100010,0.64,1
100011,0.54,1
100012,0.44,1
100013,0.65,1
100014,0.57,1
100015,0.78,1
100016,0.84,1
100017,0.62,1
100018,0.93,1
100019,0.6,1
100020,0.72,1
100021,0.94,1
100022,0.8,1
100023,0.39,1
100024,0.86,1
100025,0.45,1
100026,0.49,1
100027,0.55,1
100028,0.36,1
100029,0.92,1
100030,0.63,1
100031,0.7,1
100032,0.7,1
100033,0.94,1
100034,0.26,1
100035,0.94,1
100036,0.39,1
100037,0.5,1
100038,0.12,0
100039,0.83,1
100040,0.64,1
100041,0.65,1
100042,0.63,1
100043,0.78,1
100044,0.1,0
100045,0.71,1
100046,0.46,1
100047,0.75,1
100048,0.64,1
100049,0.47,1
100050,0.45,1
100051,0.28,1
100052,0.9,1
100053,0.84,1
100054,0.47,1
100055,0.68,1
100056,0.42,1
100057,0.66,1
100058,0.59,1
100059,0.59,1
100060,0.96,1
100061,0.63,1
100062,0.07,0
100063,0.95,1
100064,0.33,1
100065,0.18,0
100066,0.26,1
100067,0.24,0
100068,0.69,1
100069,0.74,1
100070,0.18,0
100071,0.84,1
100072,0.62,1
100073,0.72,1
100074,0.92,1
100075,0.47,1
100076,0.25,0
100077,0.7,1
100078,0.65,1
100079,0.38,1
100080,0.75,1
100081,0.76,1
100082,0.2,0
100083,0.89,1
100084,0.59,1
100085,0.52,1
100086,0.63,1
100087,0.9,1
100088,0.61,1
100089,0.58,1
100090,0.85,1
100091,0.41,1
100092,0.54,1
100093,0.85,1
100094,0.52,1
100095,0.72,1
100096,0.82,1
100097,0.38,1
100098,0.89,1
100099,0.58,1
100100,0.93,1
100101,0.6,1
100102,0.86,1
100103,0.8,1
100104,0.26,1
100105,0.39,1
100106,0.41,1
100107,0.5,1
100108,0.46,1
100109,0.52,1
100110,0.49,1
100111,0.68,1
100112,0.17,0
100113,0.64,1
100114,0.89,1
100115,0.42,1
100116,0.7,1
100117,0.89,1
100118,0.77,1
100119,0.98,1
100120,0.25,0
100121,0.35,1
100122,0.56,1
